WSP_takeover_Button,"Смотреть рекламу"
popup_ads_ftm_free_spell,"Хочешь получить заклинание даром? Посмотри короткий видеоролик!"
popup_ads_ftm_free_spell_added,"Заклинание добавлено!"
popup_ads_ftm_oops,"Упс! В этот раз не получается воспроизвести видео."
popup_ads_ftm_use_spell,"Вот твое заклинание! Используй его, когда пожелаешь."
popup_ads_onfire_desc,"Хочешь вернуть себе огненное заклинание?"
popup_ads_onfire_tap_to_skip,"Коснись, чтобы пропустить"
popup_ads_ool_popup_CTA,"Смотреть ролик"
popup_ads_ool_popup_info,"Посмотри рекламу и получи БЕСПЛАТНУЮ жизнь!"
popup_ads_ool_popup_info_flames,"Посмотри рекламу и получи БЕСПЛАТНОЕ пламя!"
popup_adventures_title,Приключения
popup_all_friends_button,"Все друзья"
popup_all_friends_button_2,"Все
друзья"
popup_ask_button,Просить
popup_ask_for_lives_later,"Помощь уже в пути! Возвращайся позже!"
popup_ask_for_lives_title,"Попросить жизней"
popup_bob_Ended_title,"Кубок Лео завершен"
popup_bob_JoinAgain_button,"Вступить снова"
popup_bob_Join_button,Вступить
popup_bob_Joining_button,Ожидай
popup_bob_Level_title,"Ур. Кубка Лео"
popup_bob_PlayToJoin_description,"Пройди все уровни, чтобы участвовать"
popup_bob_Presentation_description,"Все уровни пройдены! Самое время потягаться с другими игроками за Кубок Лео!"
popup_bob_Presentation_gold_description,"Все уровни пройдены, а звезды получены! Теперь сыграй в Кубок Лео и выиграй соревнование!"
popup_bob_SeeResults_button,Результаты
popup_bob_YouLose_description,"Может, в следующий раз"
popup_bob_YourScore_title,"Твой счет"
popup_bob_egp_description,"Ты потеряешь бонусный счет."
popup_bob_info_description,"Прохождение уровней всегда повышает счет.
Выиграй, чтобы получить бонус х4 к счету."
popup_bob_loseSwipe_description,"Но ты получишь счет за уровень."
popup_bob_loseSwipe_title,"Бонуса нет"
popup_bob_lose_keep_playing,"Продолжай соревноваться в Кубке Лео"
popup_bob_loser_description,"Может, в следующий раз!"
popup_bob_timeup_description,"Счет не добавится в копилку Кубка Лео."
popup_bob_timeup_title,"Время вышло!"
popup_bob_title,"Кубок Лео"
popup_bob_winner_description,Поздравляем!
popup_booster_created,"Заклинание создано"
popup_booster_title_1,"Искрящийся взрыв"
popup_booster_title_2,Стереомолния
popup_booster_title_3,"Заклинание изгнания"
popup_booster_title_4,"Волшебный луч"
popup_booster_title_5,Звезда-заряд
popup_booster_title_6,"Радужный натиск"
popup_booster_unlocked_gift,"Получено 3 БЕСПЛАТНЫХ заклинания: {0}!"
popup_booster_unlocked_title,"Открыто: {0}!"
popup_bubble_friends_button,"Друзья по шарикам"
popup_bubble_friends_button_2,"Друзья
по шарикам"
popup_button_confirm,Хорошо
popup_button_save,Сохранить
popup_button_score,Счет:
popup_button_try,Попробуй
popup_buttons_like,Нравится
popup_buy_flame_sc,"Пополни 1 огонек"
popup_buy_life_sc,"Пополни 1 жизнь"
popup_carousel_tutorial_text,"Появился новый способ участвовать в приключениях!"
popup_castle_nativesharing_text,"Что ты думаешь о моем доме? #BubbleWitch3"
popup_chapter_selector_nativesharing_text,"У меня собраны все звезды в главе {0}!"
popup_chapters_button_enter_chapter,Войти
popup_chapters_button_locked,Закрыто
popup_chapters_levels,"Уровни {0}-{1}"
popup_chapters_name_episode1,"Сказочный лес"
popup_chapters_name_episode10,"Хрупкий бастион"
popup_chapters_name_episode100,"Переменчивые шахматы"
popup_chapters_name_episode101,"Молчаливые тени"
popup_chapters_name_episode102,"Холодные облака"
popup_chapters_name_episode103,"Полное смягчение"
popup_chapters_name_episode104,Тыквопанорама
popup_chapters_name_episode105,"Летучая фантазия"
popup_chapters_name_episode106,"Место мечты"
popup_chapters_name_episode107,"Укромное сокровище"
popup_chapters_name_episode108,"Пурпурный рай"
popup_chapters_name_episode109,"Летний закат"
popup_chapters_name_episode11,"Нагорье Хай-кей"
popup_chapters_name_episode110,Чудо-путь
popup_chapters_name_episode111,"Мрачная судьба"
popup_chapters_name_episode112,"Неподходящие усадьбы"
popup_chapters_name_episode113,"Призрачные сады"
popup_chapters_name_episode114,"Потрясная астрономия"
popup_chapters_name_episode115,"Другие измерения"
popup_chapters_name_episode116,"Хитрые сезоны"
popup_chapters_name_episode117,"Тайное колдовство"
popup_chapters_name_episode118,"Тихие звуки"
popup_chapters_name_episode119,"Тайное подземелье"
popup_chapters_name_episode12,"Тыквенный райончик"
popup_chapters_name_episode120,"Драгоценные лапки"
popup_chapters_name_episode121,"Опасный день"
popup_chapters_name_episode122,"Пурпурная паника"
popup_chapters_name_episode123,"Страна покоя"
popup_chapters_name_episode124,"Тропический город"
popup_chapters_name_episode125,"Смешная фантазия"
popup_chapters_name_episode126,"Динамическое подземелье"
popup_chapters_name_episode127,"Загадочный момент"
popup_chapters_name_episode128,"Радикальный ритм"
popup_chapters_name_episode129,"Меланхоличный мюзикл"
popup_chapters_name_episode13,"Причудливая трясина"
popup_chapters_name_episode130,"Невидимый остров"
popup_chapters_name_episode131,"Винтажная деревня"
popup_chapters_name_episode132,"Демонические двери"
popup_chapters_name_episode133,"Чудесная басня"
popup_chapters_name_episode134,"Пыльные дороги"
popup_chapters_name_episode135,"Тыквенная тропа"
popup_chapters_name_episode136,"Зимние миры"
popup_chapters_name_episode137,"Звездная сцена"
popup_chapters_name_episode138,Микрогород
popup_chapters_name_episode139,"Ворчливые ворота"
popup_chapters_name_episode14,"Несуразные пирамиды"
popup_chapters_name_episode140,"Блестящие берега"
popup_chapters_name_episode141,"Прекрасный пруд"
popup_chapters_name_episode142,"Песчаный лес"
popup_chapters_name_episode143,"Лазурный архипелаг"
popup_chapters_name_episode144,"Ломкий лес"
popup_chapters_name_episode145,"Благодатная бухта"
popup_chapters_name_episode146,"Славная лагуна"
popup_chapters_name_episode147,"Прекрасное плато"
popup_chapters_name_episode148,"Священное святилище"
popup_chapters_name_episode149,"Яркий вулкан"
popup_chapters_name_episode15,"Гигантский механизм"
popup_chapters_name_episode150,"Бездонное болото"
popup_chapters_name_episode151,"Южная саванна"
popup_chapters_name_episode152,"Тревожная тайга"
popup_chapters_name_episode153,"Скудный ручей"
popup_chapters_name_episode154,"Древний акведук"
popup_chapters_name_episode155,"Извилистые катакомбы"
popup_chapters_name_episode156,"Приятная прерия"
popup_chapters_name_episode157,"Пляж блаженства"
popup_chapters_name_episode158,"Полуостров Мира"
popup_chapters_name_episode159,"Тундра сорванцов"
popup_chapters_name_episode16,Джаз-джунгли
popup_chapters_name_episode160,"Клюквенный перекресток"
popup_chapters_name_episode161,"Мельница Уильмура"
popup_chapters_name_episode162,"Загадочный пустырь"
popup_chapters_name_episode163,"Цветущий путь"
popup_chapters_name_episode164,"Пенный фонтан"
popup_chapters_name_episode165,"Безмятежный бассейн"
popup_chapters_name_episode166,"Большой тайник"
popup_chapters_name_episode167,"Игровой дворец"
popup_chapters_name_episode168,"Коварные шпили"
popup_chapters_name_episode169,"Потайная комната"
popup_chapters_name_episode17,Котемы
popup_chapters_name_episode170,"Очаровательная канцелярия"
popup_chapters_name_episode171,"Подземные потоки"
popup_chapters_name_episode172,"Сияющий бастион"
popup_chapters_name_episode173,"Затерявшийся ручей"
popup_chapters_name_episode174,"Вкусная ферма"
popup_chapters_name_episode175,"Таинственная долина"
popup_chapters_name_episode176,"Цветущий аванпост"
popup_chapters_name_episode177,"Жуткая цитадель"
popup_chapters_name_episode178,"Чудаковатое болото"
popup_chapters_name_episode179,"Облачный утес"
popup_chapters_name_episode18,"Сокрушающие волны"
popup_chapters_name_episode180,"Причудливый плывун"
popup_chapters_name_episode181,"Неподвижный стадион"
popup_chapters_name_episode182,"Забытая кузня"
popup_chapters_name_episode183,"Тонкая лесополоса"
popup_chapters_name_episode184,"Уголок безрассудства"
popup_chapters_name_episode185,"Цветущая пойма"
popup_chapters_name_episode186,"Черепаший тоннель"
popup_chapters_name_episode187,"Долина победы"
popup_chapters_name_episode188,"Футуристичные водопады"
popup_chapters_name_episode189,"Процветающий порт"
popup_chapters_name_episode19,"Старая обсерватория"
popup_chapters_name_episode190,"Любезный оазис"
popup_chapters_name_episode191,"Модная крона"
popup_chapters_name_episode192,"Радиоактивный риф"
popup_chapters_name_episode193,"Заколдованные джунгли"
popup_chapters_name_episode194,"Уединенный остров"
popup_chapters_name_episode195,"Искаженный храм"
popup_chapters_name_episode196,"Разрастающийся сад"
popup_chapters_name_episode197,"Широкий проход"
popup_chapters_name_episode198,"Карающая долина"
popup_chapters_name_episode199,"Поврежденное подземелье"
popup_chapters_name_episode2,"Логово Уильмура"
popup_chapters_name_episode20,"Королевский титул"
popup_chapters_name_episode200,"Сказочный форт"
popup_chapters_name_episode201,"Шумная берлога"
popup_chapters_name_episode202,"Безопасное болото"
popup_chapters_name_episode203,Подземка
popup_chapters_name_episode204,"Воинственное поместье"
popup_chapters_name_episode205,"Загадочная бухта"
popup_chapters_name_episode206,"Покинутое логово"
popup_chapters_name_episode207,"Тихий каньон"
popup_chapters_name_episode208,"Жуткий замок"
popup_chapters_name_episode209,"Мрачная обсерватория"
popup_chapters_name_episode21,"Подводный остров"
popup_chapters_name_episode210,"База блаженства"
popup_chapters_name_episode211,"Сияющий ледник"
popup_chapters_name_episode212,"Пустынная пустошь"
popup_chapters_name_episode213,"Покинутые руины"
popup_chapters_name_episode214,"Тихая дорожка"
popup_chapters_name_episode215,"Гибельная усадьба"
popup_chapters_name_episode216,"Веселая тропа"
popup_chapters_name_episode217,"Песчаная буря"
popup_chapters_name_episode218,"Бесформенная грязюка"
popup_chapters_name_episode219,"Скромная бухта"
popup_chapters_name_episode22,"Мрачное поместье"
popup_chapters_name_episode220,"Лунное поле"
popup_chapters_name_episode221,"Дребезжащая темница"
popup_chapters_name_episode222,"Чарующий кратер"
popup_chapters_name_episode223,"Одинокая крепость"
popup_chapters_name_episode224,"Динамичная пучина"
popup_chapters_name_episode225,"Пещеристое ядро"
popup_chapters_name_episode226,"Опасный холл"
popup_chapters_name_episode227,"Сложный спуск"
popup_chapters_name_episode228,"Лавандовое укрытие"
popup_chapters_name_episode229,"Гармоничный улей"
popup_chapters_name_episode23,"Воздушный архипелаг"
popup_chapters_name_episode230,"Очищающая пещера"
popup_chapters_name_episode231,"Исчезнувший тайник"
popup_chapters_name_episode232,"Молчаливые тени"
popup_chapters_name_episode233,"Хижина стражей"
popup_chapters_name_episode234,"Коктейльный пролив"
popup_chapters_name_episode235,"Кошачий лес"
popup_chapters_name_episode236,"Фьорд фей"
popup_chapters_name_episode237,"Глиняные пирамиды"
popup_chapters_name_episode238,"Несуразный каньон"
popup_chapters_name_episode239,"Поместье Морганы"
popup_chapters_name_episode24,"Причудливые ключи"
popup_chapters_name_episode240,"Мрачная магия"
popup_chapters_name_episode241,Муртыквы
popup_chapters_name_episode242,"Прогулка на мягких лапах"
popup_chapters_name_episode243,"Крепкий бастион"
popup_chapters_name_episode244,"Грильяжные мосты"
popup_chapters_name_episode245,"Затонувший хребет"
popup_chapters_name_episode246,"Дымчатый снег"
popup_chapters_name_episode247,"Мглистые нагорья"
popup_chapters_name_episode248,"Заляпанные окраины"
popup_chapters_name_episode249,"Гигантские шестерни"
popup_chapters_name_episode25,"Сонный рассвет"
popup_chapters_name_episode250,"Мрачный механизм"
popup_chapters_name_episode251,"Тусклый рассвет"
popup_chapters_name_episode252,"Старый орган"
popup_chapters_name_episode253,"Хмурая обсерватория"
popup_chapters_name_episode254,"Облачные шахматы"
popup_chapters_name_episode255,"Проклятый каньон"
popup_chapters_name_episode256,Джаз-джунгли
popup_chapters_name_episode257,Котемы
popup_chapters_name_episode258,"Королевский титул"
popup_chapters_name_episode259,"Подводный остров"
popup_chapters_name_episode26,Зомби-зона
popup_chapters_name_episode260,"Воздушный архипелаг"
popup_chapters_name_episode261,"Причудливые ключи"
popup_chapters_name_episode262,Зомби-зона
popup_chapters_name_episode263,"Крепкий бастион"
popup_chapters_name_episode264,"Темная пустыня"
popup_chapters_name_episode265,"Погружение в туман"
popup_chapters_name_episode266,"Поместье в тумане"
popup_chapters_name_episode267,"Мрачный лес"
popup_chapters_name_episode268,"Звездное море"
popup_chapters_name_episode269,"Смешливые ступени"
popup_chapters_name_episode27,"Магия Морганы"
popup_chapters_name_episode270,"Завистливые шутки"
popup_chapters_name_episode271,Джунгли-попрыгунгли
popup_chapters_name_episode272,"Скрытая сила"
popup_chapters_name_episode273,"Незаметное болото"
popup_chapters_name_episode274,"Хрустальные шахматы"
popup_chapters_name_episode275,"Клетчатые коты"
popup_chapters_name_episode276,"Светящееся железо"
popup_chapters_name_episode277,"Ледяной мираж"
popup_chapters_name_episode278,"Тотемные древа"
popup_chapters_name_episode279,"Мудреный храм"
popup_chapters_name_episode28,"Грязноватая прогулка"
popup_chapters_name_episode280,"Сказочный дракон"
popup_chapters_name_episode281,"Мрачный пункт"
popup_chapters_name_episode282,"Снежные силуэты"
popup_chapters_name_episode283,"Безмолвное небо"
popup_chapters_name_episode284,"Летучий пламень"
popup_chapters_name_episode285,"Парящая фантазия"
popup_chapters_name_episode286,"Дерзкая панорама"
popup_chapters_name_episode287,"Золотые шестеренки"
popup_chapters_name_episode288,"Сиреневый свет"
popup_chapters_name_episode289,"Светящиеся камни"
popup_chapters_name_episode29,"Взрывные тыковки"
popup_chapters_name_episode290,"Яркие мосты"
popup_chapters_name_episode291,"Тыквенный проход"
popup_chapters_name_episode292,"Бескрайняя долина"
popup_chapters_name_episode293,"Потерянные пейзажи"
popup_chapters_name_episode294,"Острые формы"
popup_chapters_name_episode295,"Молчаливые тени"
popup_chapters_name_episode296,"Холодные облака"
popup_chapters_name_episode297,"Полное смягчение"
popup_chapters_name_episode298,"Укромное сокровище"
popup_chapters_name_episode299,"Пурпурный рай"
popup_chapters_name_episode3,Барак-развалюха
popup_chapters_name_episode30,"Крепкий бастион"
popup_chapters_name_episode300,"Летний закат"
popup_chapters_name_episode301,Чудо-путь
popup_chapters_name_episode302,"Мрачная судьба"
popup_chapters_name_episode303,"Неподходящие усадьбы"
popup_chapters_name_episode304,"Призрачные сады "
popup_chapters_name_episode305,"Потрясная астрономия"
popup_chapters_name_episode306,"Другие измерения"
popup_chapters_name_episode307,"Хитрые сезоны"
popup_chapters_name_episode308,"Тайное колдовство"
popup_chapters_name_episode309,"Тихие звуки"
popup_chapters_name_episode31,"Темная пустыня"
popup_chapters_name_episode310,"Тайное подземелье"
popup_chapters_name_episode311,"Драгоценные лапки"
popup_chapters_name_episode312,"Опасный день"
popup_chapters_name_episode313,"Пурпурная паника"
popup_chapters_name_episode314,"Страна покоя"
popup_chapters_name_episode315,"Тропический город"
popup_chapters_name_episode316,"Смешная фантазия"
popup_chapters_name_episode317,"Динамическое подземелье"
popup_chapters_name_episode318,"Загадочный момент"
popup_chapters_name_episode319,"Радикальный ритм"
popup_chapters_name_episode32,"Погружение в туман"
popup_chapters_name_episode320,"Меланхоличный мюзикл"
popup_chapters_name_episode321,"Невидимый остров"
popup_chapters_name_episode322,"Винтажная деревня"
popup_chapters_name_episode323,"Демонические двери"
popup_chapters_name_episode324,"Чудесная басня"
popup_chapters_name_episode325,"Пыльные дороги"
popup_chapters_name_episode326,"Тыквенная тропа"
popup_chapters_name_episode327,"Зимние миры"
popup_chapters_name_episode328,"Звездная сцена"
popup_chapters_name_episode329,Микрогород
popup_chapters_name_episode33,"Угрюмые снасти"
popup_chapters_name_episode330,"Ворчливые ворота"
popup_chapters_name_episode331,"Блестящие берега"
popup_chapters_name_episode332,"Прекрасный пруд"
popup_chapters_name_episode333,"Песчаный лес"
popup_chapters_name_episode334,"Лазурный архипелаг"
popup_chapters_name_episode335,"Ломкий лес"
popup_chapters_name_episode336,"Благодатная бухта"
popup_chapters_name_episode337,"Славная лагуна"
popup_chapters_name_episode338,"Прекрасное плато"
popup_chapters_name_episode339,"Священное святилище"
popup_chapters_name_episode34,"Мглистые нагорья"
popup_chapters_name_episode340,"Яркий вулкан"
popup_chapters_name_episode341,"Бездонное болото"
popup_chapters_name_episode342,"Южная саванна"
popup_chapters_name_episode343,"Тревожная тайга"
popup_chapters_name_episode344,"Скудный ручей"
popup_chapters_name_episode345,"Древний акведук"
popup_chapters_name_episode346,"Извилистые катакомбы"
popup_chapters_name_episode347,"Приятная прерия"
popup_chapters_name_episode348,"Пляж блаженства"
popup_chapters_name_episode349,"Полуостров Мира"
popup_chapters_name_episode35,"Зловещая мелодия"
popup_chapters_name_episode350,"Тундра сорванцов"
popup_chapters_name_episode351,"Клюквенный перекресток"
popup_chapters_name_episode352,"Мельница Уильмура"
popup_chapters_name_episode353,"Загадочный пустырь"
popup_chapters_name_episode354,"Цветущий путь"
popup_chapters_name_episode355,"Пенный фонтан"
popup_chapters_name_episode356,"Безмятежный бассейн"
popup_chapters_name_episode357,"Большой тайник"
popup_chapters_name_episode358,"Игровой дворец"
popup_chapters_name_episode359,"Коварные шпили"
popup_chapters_name_episode36,"Облачный каньон"
popup_chapters_name_episode360,"Потайная комната"
popup_chapters_name_episode361,"Очаровательная канцелярия"
popup_chapters_name_episode362,"Подземные потоки"
popup_chapters_name_episode363," Сияющий бастион"
popup_chapters_name_episode364,"Затерявшийся ручей"
popup_chapters_name_episode365,"Вкусная ферма"
popup_chapters_name_episode366,"Таинственная долина"
popup_chapters_name_episode367,"Цветущий аванпост"
popup_chapters_name_episode368,"Жуткая цитадель"
popup_chapters_name_episode369," Чудаковатое болото"
popup_chapters_name_episode37,"Поместье в тумане"
popup_chapters_name_episode370,"Облачный утес"
popup_chapters_name_episode371,"Неподвижный стадион"
popup_chapters_name_episode372,"Забытая кузня"
popup_chapters_name_episode373,"Тонкая лесополоса"
popup_chapters_name_episode374,"Уголок безрассудства"
popup_chapters_name_episode375,"Цветущая пойма"
popup_chapters_name_episode376,"Черепаший тоннель"
popup_chapters_name_episode377,"Долина победы"
popup_chapters_name_episode378,"Футуристичные водопады"
popup_chapters_name_episode379,"Процветающий порт"
popup_chapters_name_episode38,"Дымчатый снег"
popup_chapters_name_episode380,"Любезный оазис"
popup_chapters_name_episode381,"Модная крона"
popup_chapters_name_episode382,"Радиоактивный риф"
popup_chapters_name_episode383,"Заколдованные джунгли"
popup_chapters_name_episode384,"Светящийся камень"
popup_chapters_name_episode385,"Уединенный остров"
popup_chapters_name_episode386,"Искаженный храм"
popup_chapters_name_episode387,"Разрастающийся сад"
popup_chapters_name_episode388,"Широкий проход"
popup_chapters_name_episode389,"Карающая долина"
popup_chapters_name_episode39,"Порченный планетарий"
popup_chapters_name_episode390,"Поврежденное подземелье"
popup_chapters_name_episode391,"Сказочный форт"
popup_chapters_name_episode392,"Шумная берлога"
popup_chapters_name_episode393,"Безопасное болото"
popup_chapters_name_episode394,Подземка
popup_chapters_name_episode395,"Воинственное поместье"
popup_chapters_name_episode396,"Загадочная бухта"
popup_chapters_name_episode397,"Покинутое логово"
popup_chapters_name_episode398,"Тихий каньон"
popup_chapters_name_episode399,"Жуткий замок"
popup_chapters_name_episode4,"Зевотные дворики"
popup_chapters_name_episode40,"Мрачный лес"
popup_chapters_name_episode400,"Мрачная обсерватория"
popup_chapters_name_episode401,"База блаженства"
popup_chapters_name_episode402,"Сияющий ледник"
popup_chapters_name_episode403,"Пустынная пустошь"
popup_chapters_name_episode404,"Покинутые руины"
popup_chapters_name_episode405," Тихая дорожка"
popup_chapters_name_episode406,"Гибельная усадьба"
popup_chapters_name_episode407,"Веселая тропа"
popup_chapters_name_episode408," Песчаная буря"
popup_chapters_name_episode409,"Бесформенная грязюка"
popup_chapters_name_episode41,Сьерра-Салли
popup_chapters_name_episode410,"Скромная бухта"
popup_chapters_name_episode411,"Лунное поле"
popup_chapters_name_episode412,"Дребезжащая темница"
popup_chapters_name_episode413,"Чарующий кратер"
popup_chapters_name_episode414," Одинокая крепость"
popup_chapters_name_episode415,"Динамичная пучина"
popup_chapters_name_episode416,"Пещеристое ядро"
popup_chapters_name_episode417,"Опасный холл"
popup_chapters_name_episode418,"Сложный спуск"
popup_chapters_name_episode419,"Лавандовое укрытие"
popup_chapters_name_episode42,"Тусклый рассвет"
popup_chapters_name_episode420,"Гармоничный улей"
popup_chapters_name_episode421,"Очищающая пещера"
popup_chapters_name_episode422,"Исчезнувший тайник"
popup_chapters_name_episode423,"Зачарованное эхо"
popup_chapters_name_episode424,"Фантомный пик"
popup_chapters_name_episode425,"Таинственная топь"
popup_chapters_name_episode426,"Призрачная роща"
popup_chapters_name_episode427,"Колдовская бухта"
popup_chapters_name_episode428,"Мерцающие тени"
popup_chapters_name_episode429,"Шепчущий лес"
popup_chapters_name_episode43,"Пыльное подземелье"
popup_chapters_name_episode430,"Сокрытая долина"
popup_chapters_name_episode431,"Полночный лабиринт"
popup_chapters_name_episode432,"Хрустальная пещера"
popup_chapters_name_episode433,"Лунная лагуна"
popup_chapters_name_episode434,"Воющий водопад"
popup_chapters_name_episode435,"Холмы с привидениями"
popup_chapters_name_episode436,"Сумеречная башня"
popup_chapters_name_episode437,"Мрачное ущелье"
popup_chapters_name_episode438,"Заклятый шпиль"
popup_chapters_name_episode439,"Мистическая арена"
popup_chapters_name_episode44,"Душное болото"
popup_chapters_name_episode440,"Обманное болото"
popup_chapters_name_episode441,"Зловещие дали"
popup_chapters_name_episode442,"Колдовская бездна"
popup_chapters_name_episode443,"Эфирный анклав"
popup_chapters_name_episode444,"Загадочная пропасть"
popup_chapters_name_episode445,"Тайное прибежище"
popup_chapters_name_episode446,"Небесная цитадель"
popup_chapters_name_episode447,"Призрачный перевал"
popup_chapters_name_episode448,"Омраченная святыня"
popup_chapters_name_episode449,"Загадочное поместье"
popup_chapters_name_episode45,"Проклятые шахматы"
popup_chapters_name_episode450,"Подлунная пустошь"
popup_chapters_name_episode451,"Темная долина"
popup_chapters_name_episode452,"Святилище колдуна"
popup_chapters_name_episode453,"Обсидиановый оазис"
popup_chapters_name_episode454,"Туманный уголок"
popup_chapters_name_episode455,"Обитель ткача снов"
popup_chapters_name_episode456,"Паутинный грот"
popup_chapters_name_episode457,"Фантомные поля"
popup_chapters_name_episode458,"Звездная вершина"
popup_chapters_name_episode459,"Шепчущие ветра"
popup_chapters_name_episode46,"Стирающие волны"
popup_chapters_name_episode460,"Необъяснимый мираж"
popup_chapters_name_episode461,"Край затмения"
popup_chapters_name_episode462,"Колдовские берега"
popup_chapters_name_episode463,"Книга заклинаний Стеллы"
popup_chapters_name_episode464,"Странная мастерская Уильмура"
popup_chapters_name_episode465,"Сумерки Неро"
popup_chapters_name_episode466,"Фейские водопады"
popup_chapters_name_episode467,"Сферический оазис"
popup_chapters_name_episode468,"Блуждающий лес"
popup_chapters_name_episode469,"Лес фей"
popup_chapters_name_episode47,"Безумные тотемы"
popup_chapters_name_episode470,"Околдованные сферы"
popup_chapters_name_episode471,"Сияющая поляна"
popup_chapters_name_episode472,"Звездное небо Стеллы"
popup_chapters_name_episode473,"Нечистые изделия Уильмура"
popup_chapters_name_episode474,"Полночный уголок Неро"
popup_chapters_name_episode475,"Фонтан фей"
popup_chapters_name_episode476,"Путем волшебной палочки"
popup_chapters_name_episode477,"Сумеречная чаща"
popup_chapters_name_episode478,"Плоскогорье эльфов"
popup_chapters_name_episode479,"Секрет Стеллы"
popup_chapters_name_episode48,"Туманный пролив"
popup_chapters_name_episode480,"Чудесная мастерская Уильмура"
popup_chapters_name_episode481,"Злодейское гнездо Неро"
popup_chapters_name_episode482,"Сверкающая роща"
popup_chapters_name_episode483,"Крепость фей"
popup_chapters_name_episode484,"Пейзаж сферы"
popup_chapters_name_episode485,"Лес волшебных палочек"
popup_chapters_name_episode486,"Загадочный лунный свет"
popup_chapters_name_episode487,"Звездный свет Стеллы"
popup_chapters_name_episode488,"Причудливые леса Уильмура"
popup_chapters_name_episode489,"Ночная тень Неро"
popup_chapters_name_episode49,"Мрачные могилы"
popup_chapters_name_episode490,"Полет фей"
popup_chapters_name_episode491,"Сферический аванпост"
popup_chapters_name_episode492,"Бродячие волшебные палочки"
popup_chapters_name_episode493,"Дюны пыльцы фей"
popup_chapters_name_episode494,"Святилище Стеллы"
popup_chapters_name_episode495,"Извилистый путь Уильмура"
popup_chapters_name_episode496,"Заколдованные карнизы"
popup_chapters_name_episode497,"Сказочный лес"
popup_chapters_name_episode498,"Сад сфер"
